filename,category
glass\glass779.jpg,0
glass\glass763.jpg,0
glass\glass867.jpg,0
plastic\plastic523.jpg,3
paper\paper336.jpg,2
paper\paper992.jpg,2
metal\metal249.jpg,1
metal\metal2.jpg,1
glass\glass276.jpg,0
metal\metal480.jpg,1
paper\paper487.jpg,2
metal\metal865.jpg,1
plastic\plastic216.jpg,3
metal\metal507.jpg,1
metal\metal970.jpg,1
plastic\plastic633.jpg,3
paper\paper30.jpg,2
glass\glass855.jpg,0
plastic\plastic776.jpg,3
glass\glass355.jpg,0
paper\paper327.jpg,2
plastic\plastic9.jpg,3
metal\metal328.jpg,1
plastic\plastic428.jpg,3
plastic\plastic353.jpg,3
metal\metal436.jpg,1
plastic\plastic406.jpg,3
glass\glass966.jpg,0
paper\paper802.jpg,2
plastic\plastic915.jpg,3
glass\glass594.jpg,0
paper\paper661.jpg,2
paper\paper59.jpg,2
paper\paper600.jpg,2
metal\metal531.jpg,1
glass\glass497.jpg,0
paper\paper655.jpg,2
paper\paper442.jpg,2
plastic\plastic304.jpg,3
metal\metal188.jpg,1
metal\metal790.jpg,1
plastic\plastic829.jpg,3
paper\paper753.jpg,2
metal\metal687.jpg,1
plastic\plastic377.jpg,3
plastic\plastic403.jpg,3
paper\paper900.jpg,2
paper\paper374.jpg,2
metal\metal483.jpg,1
plastic\plastic421.jpg,3
metal\metal490.jpg,1
metal\metal642.jpg,1
plastic\plastic630.jpg,3
plastic\plastic800.jpg,3
glass\glass656.jpg,0
glass\glass503.jpg,0
paper\paper530.jpg,2
glass\glass620.jpg,0
glass\glass42.jpg,0
plastic\plastic53.jpg,3
glass\glass576.jpg,0
metal\metal40.jpg,1
plastic\plastic217.jpg,3
metal\metal774.jpg,1
glass\glass160.jpg,0
metal\metal263.jpg,1
metal\metal868.jpg,1
plastic\plastic279.jpg,3
metal\metal415.jpg,1
plastic\plastic746.jpg,3
plastic\plastic321.jpg,3
glass\glass309.jpg,0
paper\paper391.jpg,2
metal\metal64.jpg,1
glass\glass455.jpg,0
metal\metal315.jpg,1
glass\glass197.jpg,0
glass\glass577.jpg,0
glass\glass783.jpg,0
plastic\plastic155.jpg,3
paper\paper993.jpg,2
glass\glass97.jpg,0
plastic\plastic743.jpg,3
paper\paper373.jpg,2
paper\paper107.jpg,2
metal\metal484.jpg,1
paper\paper563.jpg,2
metal\metal172.jpg,1
glass\glass487.jpg,0
paper\paper543.jpg,2
metal\metal382.jpg,1
glass\glass410.jpg,0
plastic\plastic252.jpg,3
paper\paper946.jpg,2
